,customerID,Partner,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,tenure,MonthlyCharges,CLTV,Satisfaction Score,Churn,AgeGroup
1131,8257-RZAHR,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),14,64.7,4049,1,Yes,Middle Age (30–59)
1132,5293-WXJAK,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),11,104.05,4553,3,Yes,Senior (≥ 60)
1133,3156-QLHBO,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,2,19.25,4725,3,No,Middle Age (30–59)
1134,2208-NQBCT,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,26,81.95,2817,3,No,Under 30
1135,1779-PWPMG,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),72,114.65,5408,3,No,Senior (≥ 60)
1136,6621-NRZAK,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),63,20.0,5975,5,No,Middle Age (30–59)
1137,0831-JNISG,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,71,19.8,5406,4,No,Middle Age (30–59)
1138,0774-IFUVM,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),11,65.15,5942,3,No,Under 30
1139,3082-WQRVY,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,14,19.65,2962,5,No,Senior (≥ 60)
1140,9553-DLCLU,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),13,88.95,5407,3,No,Middle Age (30–59)
1141,1641-BYBTK,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,6,20.2,3478,4,No,Middle Age (30–59)
1142,2460-NGXBJ,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),11,75.2,5193,5,No,Senior (≥ 60)
1143,2446-ZKVAF,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),18,56.8,5558,5,No,Under 30
1144,0841-NULXI,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,1,35.55,3958,1,Yes,Middle Age (30–59)
1145,3522-CDKHF,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),32,75.5,3131,3,No,Under 30
1146,1430-SFQSA,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,No,Mailed check,29,35.6,3898,4,No,Middle Age (30–59)
1147,0411-EZJZE,No,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,3,60.25,4830,4,No,Middle Age (30–59)
1148,7851-WZEKY,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,2,95.15,2414,2,Yes,Middle Age (30–59)
1149,8844-TONUD,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,13,96.65,5295,1,Yes,Middle Age (30–59)
1150,8807-ARQET,No,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,41,40.35,2454,5,No,Middle Age (30–59)
1151,8992-CEUEN,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,1,18.85,5084,4,No,Middle Age (30–59)
1152,4320-QMLLA,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,7,54.85,3481,3,No,Middle Age (30–59)
1153,8777-PVYGU,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Mailed check,52,64.3,4405,4,No,Middle Age (30–59)
1154,8292-ITGYJ,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),45,24.65,3043,4,No,Middle Age (30–59)
1155,6870-ZWMNX,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),70,76.1,5115,4,No,Middle Age (30–59)
1156,0621-CXBKL,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,53,18.7,4116,5,No,Middle Age (30–59)
1157,5268-DSMNQ,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),62,97.95,5428,5,No,Senior (≥ 60)
1158,5334-JLAXU,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),60,94.1,5267,3,No,Middle Age (30–59)
1159,4086-YQSNZ,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,3,80.4,3834,2,Yes,Senior (≥ 60)
1160,6242-MBHPK,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,23,95.1,4025,3,No,Senior (≥ 60)
1161,5868-CZJDR,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,1,31.35,3605,2,Yes,Middle Age (30–59)
1162,9359-UGBTK,No,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),67,72.35,4910,3,No,Middle Age (30–59)
1163,0135-NMXAP,No,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),12,89.75,5671,3,Yes,Middle Age (30–59)
1164,4782-OSFXZ,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),71,82.7,5089,3,No,Senior (≥ 60)
1165,6479-OAUSD,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),25,19.9,2130,3,No,Middle Age (30–59)
1166,7129-ACFOG,No,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,5,53.8,2182,4,No,Middle Age (30–59)
1167,4189-NAKJS,No,Yes,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),26,51.55,3130,3,No,Under 30
1168,5562-BETPV,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,1,19.65,2539,3,No,Under 30
1169,1282-IHQAC,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),70,44.05,4022,3,No,Senior (≥ 60)
1170,9127-FHJBZ,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,72,114.0,4558,3,No,Middle Age (30–59)
1171,6270-OMFIW,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,60,94.4,4990,2,Yes,Middle Age (30–59)
1172,1641-RQDAY,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,32,100.4,4848,3,No,Senior (≥ 60)
1173,0107-WESLM,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,1,19.85,3874,2,Yes,Middle Age (30–59)
1174,6994-ORCWG,No,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Mailed check,14,54.25,4423,5,No,Middle Age (30–59)
1175,1346-UFHAX,No,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),13,80.0,5577,3,No,Middle Age (30–59)
1176,3992-YWPKO,No,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),6,109.9,5750,1,Yes,Middle Age (30–59)
1177,2933-XEUJM,No,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Mailed check,46,79.2,2007,4,No,Middle Age (30–59)
1178,0125-LZQXK,No,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,15,101.35,3025,2,Yes,Middle Age (30–59)
1179,5461-QKNTN,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,43,94.3,2040,3,No,Senior (≥ 60)
1180,4835-YSJMR,No,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),39,49.8,2202,4,No,Middle Age (30–59)
1181,8399-YNDCH,No,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),21,60.05,4716,1,Yes,Senior (≥ 60)
1182,3164-YAXFY,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,57,53.75,5594,4,No,Middle Age (30–59)
1183,0887-WBJVH,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,53,93.45,4700,4,No,Under 30
1184,4660-IRIBM,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,18,87.9,5192,4,No,Middle Age (30–59)
1185,5673-FSSMF,No,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,1,60.15,4611,3,Yes,Under 30
1186,7670-ZBPOQ,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),58,61.05,4411,4,No,Middle Age (30–59)
1187,8089-UZWLX,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),71,104.05,4113,5,No,Senior (≥ 60)
1188,0080-OROZO,No,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,35,99.25,3244,3,No,Middle Age (30–59)
1189,3916-NRPAP,No,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),3,85.7,5806,5,No,Under 30
1190,6807-SIWJI,No,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,38,104.85,2709,4,No,Middle Age (30–59)
1191,8221-HVAYI,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),35,69.15,3945,3,No,Middle Age (30–59)
1192,1579-KLYDT,No,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,7,90.45,5356,2,Yes,Middle Age (30–59)
1193,5232-NXPAY,No,No,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,47,74.45,3459,3,No,Middle Age (30–59)
1194,8967-SZQAS,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,14,50.45,3185,5,No,Under 30
1195,4468-KAZHE,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,20,60.0,2399,5,No,Senior (≥ 60)
1196,0455-ENTCR,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,66,85.25,5012,4,No,Middle Age (30–59)
1197,8944-AILEF,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),15,19.45,2483,5,No,Under 30
1198,5542-NKVRU,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),42,20.75,2574,3,No,Under 30
1199,7126-RBHSD,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,17,78.9,2362,3,No,Middle Age (30–59)
1200,5370-IIVVL,No,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),37,104.5,4812,3,No,Under 30
1201,6789-HJBWG,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,12,49.4,5007,3,No,Under 30
1202,3927-NLNRY,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),53,94.25,5414,3,Yes,Middle Age (30–59)
1203,9087-EYCPR,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,60,25.0,6355,3,No,Middle Age (30–59)
1204,6791-YBNAK,Yes,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),18,25.55,4134,3,No,Under 30
1205,6358-LYNGM,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,74.9,2548,3,Yes,Under 30
1206,6077-BDPXA,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,3,70.15,2228,3,No,Middle Age (30–59)
1207,0013-MHZWF,No,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),9,69.4,5108,3,No,Under 30
1208,5494-HECPR,No,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,1,80.25,2502,2,Yes,Middle Age (30–59)
1209,8268-YDIXR,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Electronic check,56,93.15,4778,3,No,Middle Age (30–59)
1210,9824-BEMCV,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,17,69.0,3368,2,Yes,Middle Age (30–59)
1211,1373-ORVIZ,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,11,66.35,2860,1,Yes,Middle Age (30–59)
1212,4291-SHSBH,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,7,69.55,4704,3,No,Under 30
1213,6980-IMXXE,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),69,20.2,5267,5,No,Under 30
1214,9866-QEVEE,No,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),19,86.0,4857,1,Yes,Middle Age (30–59)
1215,9897-KXHCM,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,3,80.3,3212,1,Yes,Middle Age (30–59)
1216,0040-HALCW,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),54,20.4,6393,4,No,Middle Age (30–59)
1217,0784-GTUUK,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),62,23.75,4811,4,No,Under 30
1218,7979-CORPM,No,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),24,90.55,5927,2,Yes,Middle Age (30–59)
1219,2294-DMMUS,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),62,70.45,5057,5,No,Under 30
1220,0872-JCPIB,No,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),17,65.75,3921,4,No,Middle Age (30–59)
1221,3055-MJDSB,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,9,24.6,2323,5,No,Under 30
1222,9091-WTUUY,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Mailed check,64,69.25,4226,4,No,Middle Age (30–59)
1223,1618-CFHME,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2,75.9,2101,1,Yes,Middle Age (30–59)
1224,3165-HDOEW,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,1,45.85,3706,2,Yes,Middle Age (30–59)
1225,6581-NQCBA,Yes,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,16,49.95,4840,1,Yes,Middle Age (30–59)
1226,7115-IRDHS,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),72,24.65,5065,5,No,Middle Age (30–59)
1227,8496-DMZUK,No,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),30,90.4,3171,4,No,Middle Age (30–59)
1228,2040-VZIKE,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,49,100.85,5417,3,No,Middle Age (30–59)
1229,9068-VPWQQ,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),61,75.35,6466,4,No,Under 30
1230,0178-SZBHO,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,47,87.2,3760,3,No,Middle Age (30–59)
1231,0384-RVBPI,No,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),20,64.4,2120,3,No,Middle Age (30–59)
1232,1689-MRZQR,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,34,78.3,2777,3,Yes,Middle Age (30–59)
1233,1299-AURJA,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),70,24.7,5907,4,No,Middle Age (30–59)
1234,4525-VZCZG,No,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,54,105.85,5915,4,No,Middle Age (30–59)
1235,1543-LLLFT,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Mailed check,61,98.3,5413,3,No,Senior (≥ 60)
1236,5835-BEQEU,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,3,76.95,4428,2,Yes,Middle Age (30–59)
1237,2788-CJQAQ,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,13,19.45,3799,5,No,Middle Age (30–59)
1238,5565-FILXA,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,16,96.15,5913,2,Yes,Senior (≥ 60)
1239,0319-QZTCO,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),3,58.7,3654,3,No,Under 30
1240,2120-SMPEX,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,25,20.15,3848,5,No,Middle Age (30–59)
1241,0096-FCPUF,No,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,30,64.5,5039,3,No,Middle Age (30–59)
1242,0668-OGMHD,Yes,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,21,28.5,3766,4,No,Under 30
1243,5552-ZNFSJ,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,1,45.3,4568,3,Yes,Middle Age (30–59)
1244,2223-KAGMX,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),15,19.4,5379,1,Yes,Middle Age (30–59)
1245,6507-ZJSUR,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,23,90.45,5272,4,No,Senior (≥ 60)
1246,9408-HRXRK,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,45,105.15,5915,4,No,Middle Age (30–59)
1247,5593-SUAOO,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),24,83.15,2404,5,No,Middle Age (30–59)
1248,7321-PKUYW,No,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,11,90.15,5250,1,Yes,Middle Age (30–59)
1249,2833-SLKDQ,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,1,45.05,4094,1,Yes,Under 30
1250,6766-HFKLA,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),56,103.2,4534,5,No,Middle Age (30–59)
1251,7595-EUIVN,No,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,1,75.8,3940,1,Yes,Middle Age (30–59)
1252,7617-EYGLW,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,1,19.45,5820,3,No,Middle Age (30–59)
1253,2026-TGDHM,No,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,7,79.3,3830,1,Yes,Middle Age (30–59)
1254,9220-ZNKJI,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),55,88.8,4291,3,No,Senior (≥ 60)
1255,4030-VPZBD,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,2,30.9,2860,2,Yes,Middle Age (30–59)
1256,2226-ICFDO,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),72,85.9,6361,4,No,Middle Age (30–59)
1257,0723-VSOBE,No,No phone service,DSL,No,No,No,No,No,Yes,One year,No,Electronic check,45,34.2,5715,3,No,Senior (≥ 60)
1258,5529-GIBVH,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,47,20.15,2618,3,No,Middle Age (30–59)
1259,4187-CINZD,No,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),46,95.25,3180,2,Yes,Senior (≥ 60)
1260,9992-UJOEL,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,2,50.3,5870,5,No,Under 30
1261,4741-WWJQZ,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,2,80.15,5251,3,No,Middle Age (30–59)
1262,6625-UTXEW,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,12,51.25,3097,3,No,Under 30
1263,6818-WOBHJ,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),68,89.6,5651,1,Yes,Senior (≥ 60)
1264,6244-BESBM,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),69,95.2,6166,4,No,Middle Age (30–59)
1265,1004-NOZNR,No,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Credit card (automatic),56,94.8,5693,4,No,Senior (≥ 60)
1266,1251-STYSZ,No,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,4,80.25,3828,4,No,Senior (≥ 60)
1267,2612-PHGOX,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),64,76.1,4222,4,No,Middle Age (30–59)
1268,2408-TZMJL,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,59,110.15,4601,1,Yes,Middle Age (30–59)
1269,8480-PPONV,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),62,115.55,6349,3,No,Middle Age (30–59)
1270,8780-IHCRN,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),63,24.65,4392,4,No,Under 30
1271,4598-ZADCK,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,53,53.6,5183,3,No,Middle Age (30–59)
1272,1257-SXUXQ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,5,19.45,4573,3,No,Under 30
1273,9681-KYGYB,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,49,88.2,5987,4,No,Senior (≥ 60)
1274,7182-OVLBJ,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),62,101.15,5735,3,No,Middle Age (30–59)
1275,5095-ETBRJ,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,55,56.8,4702,4,No,Under 30
1276,7005-CYUIL,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,71,99.4,4964,3,No,Senior (≥ 60)
1277,4821-WQOYN,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),72,20.1,4603,4,No,Under 30
1278,4730-AWNAU,Yes,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),36,60.7,3671,3,No,Middle Age (30–59)
1279,3452-FLHYD,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),25,20.95,5682,4,No,Middle Age (30–59)
1280,2388-LAESQ,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),72,114.85,4796,3,No,Senior (≥ 60)
1281,9531-NSBMR,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),36,19.25,4904,3,No,Middle Age (30–59)
1282,6260-ONULR,No,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,1,62.8,2438,5,No,Middle Age (30–59)
1283,4389-UEFCZ,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,72,105.5,5551,3,No,Under 30
1284,8711-LOBKY,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,59,19.85,6144,3,No,Middle Age (30–59)
1285,9134-CEQMF,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,7,89.5,3077,2,Yes,Senior (≥ 60)
1286,8985-OOPOS,No,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),1,74.1,2900,5,No,Middle Age (30–59)
1287,8800-ZKRFW,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,30,107.5,3094,4,No,Middle Age (30–59)
1288,2616-FLVQC,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,64,19.55,6036,3,No,Middle Age (30–59)
1289,9968-FFVVH,No,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Bank transfer (automatic),63,68.8,5082,3,No,Under 30
1290,3108-PCCGG,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),72,84.45,5856,3,No,Senior (≥ 60)
1291,7993-PYKOF,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,8,75.0,2587,1,Yes,Under 30
1292,8390-FESFV,No,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),62,84.5,5466,4,No,Middle Age (30–59)
1293,3022-BEXHZ,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),67,111.2,6060,4,No,Under 30
1294,5027-XWQHA,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,6,44.75,2087,2,Yes,Middle Age (30–59)
1295,6248-TKCQV,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),70,80.6,5880,3,No,Middle Age (30–59)
1296,6729-GDNGC,No,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),20,80.7,3111,5,No,Senior (≥ 60)
1297,6198-ZFIOJ,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,5,75.6,3469,3,No,Middle Age (30–59)
1298,5989-OMNJE,Yes,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,24,57.6,5623,4,No,Middle Age (30–59)
